名稱	閃電種類	時間	經度	緯度
雲間閃電 134-2022-08-06 16:02	雲間	2022-08-06 16	120.414	23.216
雲間閃電 135-2022-08-06 16:02	雲間	2022-08-06 16	120.415	23.215
對地閃電 154-2022-08-06 16:03	對地	2022-08-06 16	120.39	23.166
雲間閃電 136-2022-08-06 16:03	雲間	2022-08-06 16	120.384	23.153
對地閃電 155-2022-08-06 16:03	對地	2022-08-06 16	120.316	23.14
雲間閃電 137-2022-08-06 16:03	雲間	2022-08-06 16	120.371	23.277
雲間閃電 138-2022-08-06 16:03	雲間	2022-08-06 16	120.351	23.299
雲間閃電 139-2022-08-06 16:03	雲間	2022-08-06 16	120.426	23.327
雲間閃電 140-2022-08-06 16:03	雲間	2022-08-06 16	120.349	23.27
雲間閃電 141-2022-08-06 16:03	雲間	2022-08-06 16	120.403	23.298
對地閃電 156-2022-08-06 16:03	對地	2022-08-06 16	120.494	23.153
對地閃電 157-2022-08-06 16:03	對地	2022-08-06 16	120.512	22.915
雲間閃電 142-2022-08-06 16:03	雲間	2022-08-06 16	120.379	23.28
對地閃電 158-2022-08-06 16:03	對地	2022-08-06 16	120.567	22.977
雲間閃電 143-2022-08-06 16:03	雲間	2022-08-06 16	120.466	23.273
對地閃電 159-2022-08-06 16:03	對地	2022-08-06 16	120.438	23.289
對地閃電 160-2022-08-06 16:03	對地	2022-08-06 16	120.436	23.288
對地閃電 161-2022-08-06 16:03	對地	2022-08-06 16	120.483	23.229
對地閃電 162-2022-08-06 16:03	對地	2022-08-06 16	120.262	23.173
對地閃電 163-2022-08-06 16:03	對地	2022-08-06 16	120.451	23.272
對地閃電 164-2022-08-06 16:03	對地	2022-08-06 16	120.401	23.209
對地閃電 165-2022-08-06 16:03	對地	2022-08-06 16	120.423	23.252
雲間閃電 144-2022-08-06 16:03	雲間	2022-08-06 16	120.481	22.958
對地閃電 166-2022-08-06 16:03	對地	2022-08-06 16	120.543	22.924
對地閃電 167-2022-08-06 16:03	對地	2022-08-06 16	120.727	23.287
對地閃電 168-2022-08-06 16:03	對地	2022-08-06 16	120.342	23.251
對地閃電 169-2022-08-06 16:03	對地	2022-08-06 16	120.369	23.136
雲間閃電 145-2022-08-06 16:03	雲間	2022-08-06 16	120.37	23.134
雲間閃電 146-2022-08-06 16:03	雲間	2022-08-06 16	120.497	23.368
雲間閃電 147-2022-08-06 16:03	雲間	2022-08-06 16	120.477	23.326
雲間閃電 148-2022-08-06 16:03	雲間	2022-08-06 16	120.313	23.263
對地閃電 170-2022-08-06 16:03	對地	2022-08-06 16	120.371	23.288
對地閃電 171-2022-08-06 16:03	對地	2022-08-06 16	120.455	23.246
雲間閃電 149-2022-08-06 16:03	雲間	2022-08-06 16	120.31	23.213
雲間閃電 150-2022-08-06 16:03	雲間	2022-08-06 16	120.304	23.212
對地閃電 172-2022-08-06 16:03	對地	2022-08-06 16	120.438	23.307
對地閃電 173-2022-08-06 16:03	對地	2022-08-06 16	120.375	23.333
雲間閃電 151-2022-08-06 16:03	雲間	2022-08-06 16	120.634	22.996
雲間閃電 152-2022-08-06 16:03	雲間	2022-08-06 16	120.37	23.242
雲間閃電 153-2022-08-06 16:03	雲間	2022-08-06 16	120.45	23.127
對地閃電 174-2022-08-06 16:03	對地	2022-08-06 16	120.416	23.167
雲間閃電 154-2022-08-06 16:03	雲間	2022-08-06 16	120.47	23.199
對地閃電 175-2022-08-06 16:03	對地	2022-08-06 16	120.548	22.992
雲間閃電 155-2022-08-06 16:03	雲間	2022-08-06 16	120.563	23.041
雲間閃電 156-2022-08-06 16:03	雲間	2022-08-06 16	120.496	22.898
雲間閃電 157-2022-08-06 16:03	雲間	2022-08-06 16	120.521	22.931
對地閃電 176-2022-08-06 16:03	對地	2022-08-06 16	120.505	22.901
對地閃電 177-2022-08-06 16:03	對地	2022-08-06 16	120.5	22.9
對地閃電 178-2022-08-06 16:03	對地	2022-08-06 16	120.429	23.248
雲間閃電 158-2022-08-06 16:03	雲間	2022-08-06 16	120.439	23.274
雲間閃電 159-2022-08-06 16:03	雲間	2022-08-06 16	120.371	23.247
